DateOfCall,FirstPumpArriving_AttendanceTime
2017-01,317.3032685645162
2017-02,315.1296116535714
2017-03,313.74679419032253
2017-04,313.90655292
2017-05,310.0355377516129
2017-06,319.12581941
2017-07,313.37679256451617
2017-08,303.7891135612904
2017-09,311.4260851033333
2017-10,309.2596764064516
2017-11,314.6385834000001
2017-12,311.9561190967742
2018-01,307.59994343225804
2018-02,312.5087728107143
2018-03,314.07884036774186
2018-04,302.7330171666667
2018-05,308.7461883322581
2018-06,315.9186262333334
2018-07,333.97791426774194
2018-08,308.0440507709678
2018-09,309.0178097066667
2018-10,309.0237415
2018-11,318.4331688066667
2018-12,308.8449684709678
2019-01,309.4862847677419
2019-02,309.80303462142854
2019-03,312.15028395483864
2019-04,307.72858467333333
2019-05,312.16559506451614
2019-06,317.13739883
2019-07,316.86575341935475
2019-08,309.9169884483871
2019-09,317.7810071766667
2019-10,313.28275821935483
2019-11,313.09476070666665
2019-12,311.42780853870966
2020-01,304.78666400000003
2020-02,310.09282075172405
2020-03,299.0881496258064
2020-04,282.1068406633333
2020-05,286.98003515806454
2020-06,293.3155726866667
2020-07,299.59224067741934
2020-08,310.3510908290323
2020-09,306.10811684
2020-10,306.3752289000001
2020-11,298.2353185
2020-12,303.43029849032257
2021-01,294.4689712096774
2021-02,298.4978645142857
2021-03,298.76868848064515
2021-04,307.62946010666667
2021-05,301.97702855263157
