DateOfCall,FirstPumpArriving_AttendanceTime
05/08/2017,300.1381818
06/08/2017,304.8530466
07/08/2017,307.9879518
08/08/2017,314.3783784
09/08/2017,329.1453901
10/08/2017,317.4148936
11/08/2017,315.4560669
12/08/2017,296.5381679
13/08/2017,294.9222222
14/08/2017,296.2064057
15/08/2017,299.0186567
16/08/2017,296.359375
17/08/2017,300.3
18/08/2017,304.3319502
19/08/2017,303.4007782
20/08/2017,304.6048387
21/08/2017,303.4357798
22/08/2017,294.7338129
23/08/2017,300.8255814
24/08/2017,308.9836066
25/08/2017,299.3409836
26/08/2017,290.3309353
27/08/2017,305.8557047
28/08/2017,294.1390977
29/08/2017,301.8488746
30/08/2017,319.6837945
31/08/2017,321.5605536
01/09/2017,307.277193
02/09/2017,309.0150376
03/09/2017,295.1012658
04/09/2017,302.1582734
05/09/2017,306.9834711
06/09/2017,306.8688525
07/09/2017,302.1795918
08/09/2017,295.1586716
09/09/2017,317.2421875
10/09/2017,313.5636364
11/09/2017,295.2798354
12/09/2017,305.9114391
13/09/2017,307.9737991
14/09/2017,329.2755906
15/09/2017,328.7084639
16/09/2017,312.6089965
17/09/2017,317.9061372
18/09/2017,317.4855967
19/09/2017,326.2413793
20/09/2017,312.5075758
21/09/2017,320.9890511
22/09/2017,330.2395833
23/09/2017,322.7152542
24/09/2017,299.8909091
25/09/2017,303.5747126
26/09/2017,303.1006944
27/09/2017,309.1541219
28/09/2017,325.1576923
29/09/2017,318.8091603
30/09/2017,299.7043796
01/10/2017,301.6254682
02/10/2017,311.097561
03/10/2017,317.164
04/10/2017,313.2205323
05/10/2017,304.4296296
06/10/2017,341.2588652
07/10/2017,306.4319066
08/10/2017,297.5608856
09/10/2017,310.8909774
10/10/2017,305.5274262
11/10/2017,308.5871212
12/10/2017,315.7752809
13/10/2017,310.9233716
14/10/2017,312.7767584
15/10/2017,301.0271186
16/10/2017,305.5410448
17/10/2017,306.4618182
18/10/2017,318.9962121
19/10/2017,313.1957295
20/10/2017,296.7811321
21/10/2017,311.649635
22/10/2017,315.2539063
23/10/2017,299.3816254
24/10/2017,304.0484429
25/10/2017,294.2527881
26/10/2017,314.4024896
27/10/2017,316.7581967
28/10/2017,297.2415094
29/10/2017,301.2898551
30/10/2017,300.6642857
31/10/2017,332.8343949
01/11/2017,305.0578231
02/11/2017,323.3275862
03/11/2017,320.3189369
04/11/2017,318.6156156
05/11/2017,332.5093333
06/11/2017,324.7475728
07/11/2017,326.6589862
08/11/2017,313.3333333
09/11/2017,316.6687117
10/11/2017,311.8695652
11/11/2017,295.5639098
12/11/2017,301.0483871
13/11/2017,313.2690763
14/11/2017,297.7834646
15/11/2017,308.203252
16/11/2017,310.8676471
17/11/2017,325.7116788
18/11/2017,318.0538721
19/11/2017,314.5115385
20/11/2017,307.7769231
21/11/2017,303.4698276
22/11/2017,313.6287879
23/11/2017,333.1032028
24/11/2017,325.324
25/11/2017,315.8358663
26/11/2017,300.9283276
27/11/2017,304.7713004
28/11/2017,313.955102
29/11/2017,323.329588
30/11/2017,318.9142857
01/12/2017,318.747331
02/12/2017,327.4636678
03/12/2017,301.5126354
04/12/2017,303.2434457
05/12/2017,317.2059801
06/12/2017,315.7142857
07/12/2017,330.8961039
08/12/2017,314.7357143
09/12/2017,305.7974277
10/12/2017,336.7171717
11/12/2017,311.5097276
12/12/2017,334.1701389
13/12/2017,321.9578947
14/12/2017,335.7272727
15/12/2017,312.141844
16/12/2017,319.0242915
17/12/2017,306.0464135
18/12/2017,316.1215686
19/12/2017,315.8703704
20/12/2017,327.2167832
21/12/2017,307.4922481
22/12/2017,307.2727273
23/12/2017,316.8197425
24/12/2017,309.1009174
25/12/2017,288.0259259
26/12/2017,295.2604651
27/12/2017,286.5955556
28/12/2017,291.5714286
29/12/2017,300.7738095
30/12/2017,305.7902622
31/12/2017,290.1165414
01/01/2018,286.1685824
02/01/2018,301.8844444
03/01/2018,302.9183673
04/01/2018,293.793578
05/01/2018,302.1566265
06/01/2018,292.4628099
07/01/2018,297.7735849
08/01/2018,312.7566372
09/01/2018,304.7383178
10/01/2018,311.9525862
11/01/2018,307.3457944
12/01/2018,307
13/01/2018,295.0396476
14/01/2018,290.1160714
15/01/2018,313.3489362
16/01/2018,300.4417476
17/01/2018,322.1474104
18/01/2018,313.7455197
19/01/2018,343.0235294
20/01/2018,311.6692913
21/01/2018,295.0405904
22/01/2018,312.3138075
23/01/2018,308.2385321
24/01/2018,308.7307692
25/01/2018,324.5848214
26/01/2018,314.9297521
27/01/2018,307.507874
28/01/2018,294.3636364
29/01/2018,285.4356436
30/01/2018,332.1621622
31/01/2018,341.8071749
01/02/2018,322.4708333
02/02/2018,309.7384615
03/02/2018,303.8893617
04/02/2018,294.0327869
05/02/2018,306.6816327
06/02/2018,309.3019608
07/02/2018,304.4938272
08/02/2018,304.7075099
09/02/2018,295.1826087
10/02/2018,295.1814672
11/02/2018,288.5491803
12/02/2018,303
13/02/2018,356.0187793
14/02/2018,320.0603448
15/02/2018,312.8177778
16/02/2018,320.3372093
17/02/2018,314.3421927
18/02/2018,314.9867257
19/02/2018,327.9453782
20/02/2018,316.752381
21/02/2018,318.6916996
22/02/2018,303.8214286
23/02/2018,328.2276786
24/02/2018,315.5866667
25/02/2018,303.7049689
26/02/2018,300.7333333
27/02/2018,322.2653061
28/02/2018,336.7241379
01/03/2018,338.1278539
02/03/2018,362.128
03/03/2018,360.0505837
04/03/2018,307.077748
05/03/2018,316.1174377
06/03/2018,315.447099
07/03/2018,316.8903654
08/03/2018,324.269962
09/03/2018,319.7575758
10/03/2018,309.5564516
11/03/2018,299.9223301
12/03/2018,308.3705357
13/03/2018,329.7385892
14/03/2018,321.6303318
15/03/2018,320.8
16/03/2018,317.1807229
17/03/2018,317.7711864
18/03/2018,296.7543103
19/03/2018,300.7011952
20/03/2018,312.2366071
21/03/2018,310.492126
22/03/2018,302.6339286
23/03/2018,309.1772727
24/03/2018,298.9759036
25/03/2018,312.7142857
26/03/2018,307.4754098
27/03/2018,320.4017094
28/03/2018,313.9205021
29/03/2018,306.3858921
30/03/2018,272.6493506
31/03/2018,287.088785
01/04/2018,286.7887324
02/04/2018,271.3846154
03/04/2018,306.6088889
04/04/2018,322.25
05/04/2018,303.2650602
06/04/2018,303.0168776
07/04/2018,297.8759124
08/04/2018,303.3661972
09/04/2018,297.8591549
10/04/2018,312.0096618
11/04/2018,289.1894273
12/04/2018,289.1967213
13/04/2018,313.6118721
14/04/2018,288.3884615
15/04/2018,283.815534
16/04/2018,307.2222222
17/04/2018,301.7974684
18/04/2018,318.6888889
19/04/2018,306.6878788
20/04/2018,319.4398734
21/04/2018,315.6482759
22/04/2018,294.3143939
23/04/2018,311.3293651
24/04/2018,317.9151786
25/04/2018,311.3966942
26/04/2018,316.1643836
27/04/2018,303.4941176
28/04/2018,297.7751938
29/04/2018,286.2672414
30/04/2018,305.2222222
01/05/2018,305.704918
02/05/2018,300.1806167
03/05/2018,313.8093385
04/05/2018,309.1227437
05/05/2018,300.7956656
06/05/2018,305.4413793
07/05/2018,301.2356495
08/05/2018,317.9615385
09/05/2018,306.6775362
10/05/2018,311.0301887
11/05/2018,307.4802867
12/05/2018,290.9881423
13/05/2018,289.8
14/05/2018,304.4416961
15/05/2018,301.2446809
16/05/2018,306.6199095
17/05/2018,302.0285714
18/05/2018,310.0819672
19/05/2018,308.0313589
20/05/2018,328.1821429
21/05/2018,304.6
22/05/2018,317.4806202
23/05/2018,330.1034483
24/05/2018,319.4366197
25/05/2018,321.0254237
26/05/2018,324.012012
27/05/2018,298.0336391
28/05/2018,297.757764
29/05/2018,335.4969512
30/05/2018,300.375
31/05/2018,301.9520295
01/06/2018,315.430605
02/06/2018,305.1530612
03/06/2018,331.668
04/06/2018,295.0327869
